PLC Tag,Display Name,Area,Equipment,Parameter,Unit,Category,Data Type,Normal Low,Normal High,Warning Low,Warning High,Critical Low,Critical High,Active,Mapping Status
LIT150TK05A,LIT150TK05A,Area 150,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT190BX01A,LIT190BX01A,Area 190,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT190BX01B,LIT190BX01B,Area 190,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT190BX002,LIT190BX002,Area 190,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT190BX003,LIT190BX003,Area 190,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT190TK008,LIT190TK008,Area 190,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT190TK009,LIT190TK009,Area 190,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT190TK010,LIT190TK010,Area 190,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT190TK011,LIT190TK011,Area 190,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT220TK01A,LIT220TK01A,Area 220,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT220TK02A,LIT220TK02A,Area 220,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT220TK03A,LIT220TK03A,Area 220,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT220TK04A,LIT220TK04A,Area 220,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT220TK05A,LIT220TK05A,Area 220,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
LIT220TK06A,LIT220TK06A,Area 220,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
